he,she
him,her
his,herr
himself,herself
mr,ms
mrr,mrs
man,woman
mans,womans
boy,girl
boys,girls
father,mother
fathers,mothers
stepfather,stepmother
stepfathers,stepmothers
brother,sister
brothers,sisters
stepbrother,stepsister
stepbrothers,stepsisters
husband,wife
husbands,wives
son,daughter
sons,daughters
stepson,stepdaugther
stepsons,stepdaugthers
grandfather,grandmother
grandfathers,grandmothers
uncle,aunt
uncles,aunts
nephew,niece
nephews,nieces
mister,miss
misters,misses
sir,madam
sirs,madams
male,female
males,females
men,women
king,queen
kings,queens
lord,lady
lords,ladies
duke,duchess
dukes,duchesses
count,countess
counts,countesses
prince,princess
princes,princesses
fiancé,fiancée
fiancés,fiancées
noblemen,noblewomen
nobleman,noblewoman
patriarch,monarch
patriarchs,monarchs
patriarchy,monarchy
patricarchies,monarchies
emperor,empress
emperors,empresses
archduke,archduchess
archdukes,archduchesses
marquess,marchioness
marquesss,marchionesses
viscount,viscountess
viscounts,viscountesses
baron,baroness
barons,baronesses
baronet,baronetess
baronets,baronetesses
gentleman,gentlewoman
gentlemen,gentlewomen
bachelor,bachelorette
bachelors,bachelorettes
bridegroom,bride
bridegrooms,brides
groomsman,bridesmaid
groomsmen,bridesmaids
monsieur,mademoiselle
monsieurs,mademoiselles
monsieure,madame
monsieures,madames
sire,maam
sires,maams
boyish,girlish
guy,gal
guys,gals
ladd,lass
ladds,lasses
brethren,sistren
brethrens,sistrens
fraternity,sorority
fraternities,sororities
lordship,ladyship
lordships,ladyships
widower,widow
widowers,widows
dad,mom
dads,moms
papa,mama
papas,mamas
daddy,mommy
daddies,mommies
pa,ma
pas,mas
pepe,meme
pepes,memes
grandpa,grandma
grandpas,grandmas
naive,damsel
naives,damsels
lad,maiden
lads,maidens
landlord,landlady
landlords,landladies
countryman,countrywoman
countrymen,countrywomen
kingdom,queendom
kingdoms,queendoms
englishman,englishwoman
englishmen,englishwomen
frenchman,frenchwoman
frenchmen,frenchwomen
manservant,maid
manservants,maids
manhood,womanhood
fatherhood,motherhood
brotherhood,sisterhood
mankind,womankind
tradesman,tradeswoman
tradesmen,tradeswomen
seaman,seawoman
seamen,seawomen
policeman,policewoman
policemen,policewomen
gigolo,mistress
gigolos,mistresses
cabman,cabwoman
coachman,coachwoman
clergyman,clergywoman
chairman,chairwoman
foreman,forewoman
juryman,jurywoman
guardsmen,guardswomen
guardsman,guardswoman
swordsman,swordswoman
salesman,saleswoman
footman,footwoman
footmen,footwomen
workman,workwoman
workmen,workwomen
firemen,firewomen
tomboy,tomgirl
manly,womanly
boyfriend,girlfriend
boyfriends,girlfriends
masculine,feminine
masculinity,femininity
barman,barmaid
actor,actress
madman,madwoman
madmen,madwomen
kinsman,kinswoman
kinsmen,kinswomen
hangman,hangwoman